index,name,ticker,identifier,sedol,weight,sector,sharesheld,localcurrency
200,FORTINET INC,FTNT,34959E109,B5B2106,0.086724,-,7616143.0,USD
201,DOMINION ENERGY INC,D,25746U109,2542049,0.085425,-,10320611.0,USD
202,VALERO ENERGY CORP,VLO,91913Y100,2041364,0.084783,-,3675054.0,USD
203,CHIPOTLE MEXICAN GRILL INC,CMG,169656105,B0X7DZ3,0.084696,-,15931947.0,USD
204,DIGITAL REALTY TRUST INC,DLR,253868103,B03GQS4,0.084686,-,3890400.0,USD
205,EDWARDS LIFESCIENCES CORP,EW,28176E108,2567116,0.084628,-,6991947.0,USD
206,MARATHON PETROLEUM CORP,MPC,56585A102,B3K3L40,0.084196,-,3621895.0,USD
207,CARDINAL HEALTH INC,CAH,14149Y108,2175672,0.08334,-,2862835.0,USD
208,ROPER TECHNOLOGIES INC,ROP,776696106,2749602,0.081877,-,1293759.0,USD
209,CBRE GROUP INC   A,CBRE,12504L109,B6WVMH3,0.081697,-,3531206.0,USD
210,FASTENAL CO,FAST,311900104,2332262,0.081137,-,13828575.0,USD
211,AMETEK INC,AME,031100100,2089212,0.081033,-,2773706.0,USD
212,WORKDAY INC CLASS A,WDAY,98138H101,B8K6ZD1,0.079162,-,2602572.0,USD
213,AMERICAN INTERNATIONAL GROUP,AIG,026874784,2027342,0.078901,-,6501406.0,USD
214,AMERIPRISE FINANCIAL INC,AMP,03076C106,B0J7D57,0.078659,-,1119390.0,USD
215,AXON ENTERPRISE INC,AXON,05464C101,BDT5S35,0.078456,-,946182.0,USD
216,ONEOK INC,OKE,682680103,2130109,0.078038,-,7596268.0,USD
217,ELECTRONIC ARTS INC,EA,285512109,2310194,0.077898,-,2711941.0,USD
218,DELTA AIR LINES INC,DAL,247361702,B1W9D46,0.077765,-,7812983.0,USD
219,MONOLITHIC POWER SYSTEMS INC,MPWR,609839105,B01Z7J1,0.077003,-,575898.0,USD
220,CORTEVA INC,CTVA,22052L104,BK73B42,0.076893,-,8141842.0,USD
221,WW GRAINGER INC,GWW,384802104,2380863,0.076218,-,527178.0,USD
222,DATADOG INC   CLASS A,DDOG,23804L103,BKT9Y49,0.075926,-,3921314.0,USD
223,METLIFE INC,MET,59156R108,2573209,0.075815,-,6668747.0,USD
224,ROCKWELL AUTOMATION INC,ROK,773903109,2754060,0.07565,-,1354339.0,USD
225,BAKER HUGHES CO,BKR,05722G100,BDHLTQ5,0.075473,-,11877802.0,USD
226,NASDAQ INC,NDAQ,631103108,2965107,0.075199,-,5435064.0,USD
227,EXELON CORP,EXC,30161N101,2670519,0.074275,-,12167453.0,USD
228,TARGET CORP,TGT,87612E106,2259101,0.074103,-,5472865.0,USD
229,XCEL ENERGY INC,XEL,98389B100,2614807,0.074038,-,7124256.0,USD
230,MSCI INC,MSCI,55354G100,B2972D2,0.07388,-,905382.0,USD
231,TAKE TWO INTERACTIVE SOFTWRE,TTWO,874054109,2122117,0.073711,-,2088658.0,USD
232,REPUBLIC SERVICES INC,RSG,760759100,2262530,0.072501,-,2424381.0,USD
233,YUM  BRANDS INC,YUM,988498101,2098876,0.072364,-,3343045.0,USD
234,CARRIER GLOBAL CORP,CARR,14448C104,BK4N0D7,0.071582,-,9538860.0,USD
235,PUBLIC STORAGE,PSA,74460D109,2852533,0.069927,-,1902199.0,USD
236,ENTERGY CORP,ETR,29364G103,2317087,0.069903,-,5377722.0,USD
237,COGNIZANT TECH SOLUTIONS A,CTSH,192446102,2257019,0.069678,-,5815422.0,USD
238,FAIR ISAAC CORP,FICO,303250104,2330299,0.06937,-,285703.0,USD
239,PUBLIC SERVICE ENTERPRISE GP,PEG,744573106,2707677,0.067938,-,6000316.0,USD
240,DR HORTON INC,DHI,23331A109,2250687,0.067867,-,3299761.0,USD
241,PRUDENTIAL FINANCIAL INC,PRU,744320102,2819118,0.067759,-,4217091.0,USD
242,TARGA RESOURCES CORP,TRGP,87612G101,B55PZY3,0.066794,-,2591806.0,USD
243,AGILENT TECHNOLOGIES INC,A,00846U101,2520153,0.066375,-,3421088.0,USD
244,HARTFORD INSURANCE GROUP INC,HIG,416515104,2476193,0.065802,-,3357561.0,USD
245,MARTIN MARIETTA MATERIALS,MLM,573284106,2572079,0.065506,-,726134.0,USD
246,VULCAN MATERIALS CO,VMC,929160109,2931205,0.065415,-,1588214.0,USD
247,DELL TECHNOLOGIES  C,DELL,24703L202,BHKD3S6,0.065395,-,3631517.0,USD
248,IQVIA HOLDINGS INC,IQV,46266C105,BDR73G1,0.064891,-,2046825.0,USD
249,KROGER CO,KR,501044101,2497406,0.064674,-,7326848.0,USD
